Auditable Verification Report for Phase 1: Department Management UI

**Automated Test Command:**
`pnpm test:unit`

**Manual Verification Steps:**
1.  **启动开发服务器:** 确保前后端开发服务器都已启动。
2.  **打开浏览器:** 打开浏览器并访问 http://localhost:5173。
3.  **登录:** 使用超级管理员账户登录。
4.  **导航到部门管理:** 在侧边栏菜单中，找到并点击 “系统管理” > “部门管理”。
5.  **验证部门列表:**
    *   **确认:** 页面应该显示一个部门列表或树状结构。
    *   **确认:** 列表应该包含搜索、重置、新增部门等按钮。
6.  **创建新部门:**
    *   **操作:** 点击 “新增部门” 按钮。
    *   **确认:** 一个表单/弹窗应该会出现，包含 “部门名称”、“排序”、“状态”等字段。
    *   **操作:** 填写表单并点击 “确定”。
    *   **确认:** 新创建的部门应该出现在列表中。
7.  **编辑部门:**
    *   **操作:** 在列表中找到一个部门，并点击其 “编辑” 按钮。
    *   **确认:** 一个包含该部门现有数据的表单/弹窗应该会出现。
    *   **操作:** 修改表单中的一些数据，然后点击 “确定”。
    *   **确认:** 列表中的部门数据应该被更新。
8.  **搜索/筛选部门:**
    *   **操作:** 在搜索区域，根据部门名称等条件进行搜索。
    *   **确认:** 列表应该只显示符合搜索条件的部门。
    *   **操作:** 点击 “重置” 按钮。
    *   **确认:** 列表应该恢复显示所有部门。
9.  **删除部门:**
    *   **操作:** 在列表中找到一个部门，并点击其 “删除” 按钮。
    *   **确认:** 一个确认删除的对话框应该会出现。
    *   **操作:** 点击 “确定”。
    *   **确认:** 该部门应该从列表中被移除。

**User Confirmation:**
'满足,继续开发下一个功能'
